short_name,value_eur,player_positions,age,height_cm,weight_kg,overall,pace,shooting,passing,dribbling,defending,physic
L. Messi,54000000.0,RW,35,169,67,91,81.0,89.0,90.0,94.0,34.0,64.0
K. Benzema,64000000.0,CF,34,185,81,91,80.0,88.0,83.0,87.0,39.0,78.0
R. Lewandowski,84000000.0,ST,33,185,81,91,75.0,91.0,79.0,86.0,44.0,83.0
K. De Bruyne,107500000.0,CM,31,181,70,91,74.0,88.0,93.0,87.0,64.0,77.0
Cristiano Ronaldo,41000000.0,ST,37,187,83,90,81.0,92.0,78.0,85.0,34.0,75.0
V. van Dijk,98000000.0,CB,30,193,92,90,81.0,60.0,71.0,72.0,91.0,86.0
M. Salah,115500000.0,RW,30,175,71,90,90.0,89.0,82.0,90.0,45.0,75.0
Neymar Jr,99500000.0,LW,30,175,68,89,87.0,83.0,85.0,93.0,37.0,61.0
H. Son,101000000.0,LW,29,183,78,89,88.0,89.0,82.0,86.0,42.0,69.0
Casemiro,86000000.0,CDM,30,185,84,89,63.0,73.0,75.0,72.0,87.0,90.0
H. Kane,105500000.0,ST,28,188,89,89,68.0,91.0,83.0,82.0,47.0,82.0
S. Mané,99500000.0,LM,30,174,69,89,90.0,83.0,80.0,88.0,44.0,77.0
J. Kimmich,105500000.0,CDM,27,177,75,89,68.0,72.0,87.0,84.0,83.0,79.0
N. Kanté,72000000.0,CDM,31,168,70,89,72.0,66.0,74.0,81.0,87.0,82.0
L. Modrić,29000000.0,CM,36,172,66,88,73.0,76.0,89.0,88.0,72.0,66.0
T. Kroos,72000000.0,CM,32,183,76,88,53.0,81.0,90.0,81.0,71.0,68.0
Marquinhos,92000000.0,CB,28,183,75,88,79.0,56.0,75.0,74.0,89.0,80.0
João Cancelo,82500000.0,LB,28,182,74,88,85.0,73.0,85.0,85.0,81.0,73.0
Bernardo Silva,97500000.0,CAM,27,173,64,88,77.0,78.0,84.0,92.0,61.0,68.0
Rúben Dias,107500000.0,CB,25,187,82,88,63.0,39.0,66.0,68.0,88.0,88.0
T. Müller,63000000.0,CAM,32,185,76,87,69.0,84.0,83.0,80.0,56.0,71.0
M. Verratti,77500000.0,CM,29,165,60,87,60.0,61.0,87.0,91.0,79.0,66.0
K. Koulibaly,54500000.0,CB,31,187,89,87,82.0,33.0,59.0,68.0,88.0,85.0
A. Rüdiger,73500000.0,CB,29,190,85,87,82.0,53.0,71.0,67.0,86.0,85.0
Fabinho,77000000.0,CDM,28,188,78,87,66.0,69.0,78.0,77.0,86.0,83.0
L. Goretzka,91000000.0,CM,27,189,82,87,78.0,82.0,82.0,83.0,81.0,86.0
A. Robertson,72000000.0,LB,28,178,64,87,80.0,61.0,81.0,81.0,82.0,76.0
F. de Jong,116500000.0,CM,25,180,74,87,82.0,69.0,86.0,87.0,77.0,78.0
T. Alexander-Arnold,100500000.0,RB,23,180,69,87,76.0,69.0,89.0,80.0,80.0,73.0
Rodri,88500000.0,CDM,26,191,82,87,58.0,72.0,78.0,79.0,83.0,84.0
Thiago Silva,12000000.0,CB,37,183,79,86,49.0,54.0,73.0,72.0,87.0,76.0
Thiago,55500000.0,CM,31,174,70,86,61.0,72.0,87.0,90.0,72.0,69.0
Parejo,42000000.0,CM,33,182,74,86,50.0,83.0,90.0,80.0,71.0,68.0
C. Immobile,55000000.0,ST,32,185,85,86,85.0,87.0,68.0,80.0,39.0,75.0
R. Lukaku,68000000.0,ST,29,191,94,86,80.0,85.0,75.0,77.0,38.0,82.0
D. Alaba,55500000.0,CB,30,180,78,86,79.0,71.0,83.0,80.0,85.0,77.0
R. Sterling,72500000.0,LW,27,170,69,86,90.0,80.0,78.0,86.0,45.0,67.0
R. Mahrez,56500000.0,RW,31,179,67,86,80.0,83.0,81.0,90.0,38.0,60.0
P. Dybala,69500000.0,CF,28,177,75,86,80.0,85.0,85.0,90.0,40.0,59.0
Bruno Fernandes,72500000.0,CAM,27,179,69,86,72.0,86.0,88.0,81.0,67.0,76.0
A. Laporte,64500000.0,CB,28,191,85,86,61.0,50.0,72.0,69.0,86.0,79.0
K. Coman,80000000.0,LM,26,179,75,86,92.0,77.0,79.0,87.0,30.0,61.0
M. Brozović,58000000.0,CDM,29,181,68,86,69.0,74.0,81.0,81.0,81.0,78.0
S. Milinković-Savić,77500000.0,CM,27,191,76,86,68.0,80.0,82.0,82.0,79.0,86.0
N. Barella,89500000.0,CM,25,172,68,86,79.0,76.0,83.0,84.0,77.0,81.0
L. Martínez,98500000.0,ST,24,174,72,86,83.0,83.0,72.0,85.0,48.0,84.0
M. Škriniar,68500000.0,CB,27,188,80,86,78.0,41.0,57.0,69.0,88.0,86.0
C. Nkunku,94000000.0,CF,24,175,73,86,88.0,81.0,83.0,88.0,65.0,66.0
Vinícius Jr.,109000000.0,LW,21,176,73,86,95.0,79.0,74.0,90.0,29.0,67.0
İ. Gündoğan,44000000.0,CM,31,180,80,85,64.0,80.0,85.0,85.0,72.0,72.0
M. Reus,33500000.0,CAM,33,180,71,85,70.0,84.0,84.0,85.0,53.0,65.0
K. Walker,37500000.0,RB,32,183,83,85,91.0,63.0,77.0,78.0,80.0,82.0
P. Aubameyang,34500000.0,ST,33,187,80,85,87.0,84.0,74.0,79.0,36.0,68.0
Jordi Alba,28000000.0,LB,33,170,68,85,84.0,70.0,82.0,82.0,77.0,70.0
Sergio Busquets,26500000.0,CDM,33,189,76,85,42.0,62.0,79.0,79.0,82.0,73.0
Iago Aspas,26000000.0,ST,34,176,67,85,82.0,85.0,79.0,86.0,35.0,63.0
P. Pogba,52500000.0,CM,29,191,84,85,67.0,80.0,85.0,85.0,62.0,80.0
M. Depay,55000000.0,CF,28,176,78,85,83.0,84.0,82.0,86.0,30.0,79.0
Jorginho,51500000.0,CM,30,180,68,85,54.0,67.0,86.0,81.0,73.0,73.0
S. Gnabry,59000000.0,RM,26,176,77,85,82.0,84.0,79.0,85.0,43.0,69.0
Gerard Moreno,53000000.0,ST,30,180,77,85,78.0,86.0,77.0,83.0,46.0,72.0
